Started training.
is pre training: True | ep: 10 | step: 500 | avg reward: -0.9 | avg ep length: 50.0
is pre training: True | ep: 20 | step: 1000 | avg reward: -0.5 | avg ep length: 50.0
is pre training: True | ep: 30 | step: 1500 | avg reward: -0.6 | avg ep length: 50.0
is pre training: True | ep: 40 | step: 2000 | avg reward: 0.7 | avg ep length: 50.0
is pre training: True | ep: 50 | step: 2500 | avg reward: -1.6 | avg ep length: 50.0
is pre training: True | ep: 60 | step: 3000 | avg reward: 0.5 | avg ep length: 50.0
is pre training: True | ep: 70 | step: 3500 | avg reward: -1.6 | avg ep length: 50.0
is pre training: True | ep: 80 | step: 4000 | avg reward: -1.8 | avg ep length: 50.0
is pre training: True | ep: 90 | step: 4500 | avg reward: -0.1 | avg ep length: 50.0
is pre training: True | ep: 100 | step: 5000 | avg reward: -0.2 | avg ep length: 50.0
is pre training: True | ep: 110 | step: 5500 | avg reward: -1.8 | avg ep length: 50.0
is pre training: True | ep: 120 | step: 6000 | avg reward: -1.5 | avg ep length: 50.0
is pre training: True | ep: 130 | step: 6500 | avg reward: -2.1 | avg ep length: 50.0
is pre training: True | ep: 140 | step: 7000 | avg reward: -1.2 | avg ep length: 50.0
is pre training: True | ep: 150 | step: 7500 | avg reward: 0.1 | avg ep length: 50.0
is pre training: True | ep: 160 | step: 8000 | avg reward: -0.7 | avg ep length: 50.0
is pre training: True | ep: 170 | step: 8500 | avg reward: -0.9 | avg ep length: 50.0
is pre training: True | ep: 180 | step: 9000 | avg reward: -1.2 | avg ep length: 50.0
is pre training: True | ep: 190 | step: 9500 | avg reward: -0.9 | avg ep length: 50.0
is pre training: True | ep: 200 | step: 10000 | avg reward: 0.5 | avg ep length: 50.0
is pre training: True | ep: 210 | step: 10500 | avg reward: -1.4 | avg ep length: 50.0
is pre training: True | ep: 220 | step: 11000 | avg reward: -0.3 | avg ep length: 50.0
is pre training: True | ep: 230 | step: 11500 | avg reward: -0.7 | avg ep length: 50.0
is pre training: True | ep: 240 | step: 12000 | avg reward: -1.4 | avg ep length: 50.0
is pre training: True | ep: 250 | step: 12500 | avg reward: -0.3 | avg ep length: 50.0
is pre training: True | ep: 260 | step: 13000 | avg reward: -0.6 | avg ep length: 50.0
is pre training: True | ep: 270 | step: 13500 | avg reward: -1.7 | avg ep length: 50.0
is pre training: True | ep: 280 | step: 14000 | avg reward: -1.5 | avg ep length: 50.0
is pre training: True | ep: 290 | step: 14500 | avg reward: 0.2 | avg ep length: 50.0
is pre training: True | ep: 300 | step: 15000 | avg reward: 0.2 | avg ep length: 50.0
is pre training: True | ep: 310 | step: 15500 | avg reward: -1.5 | avg ep length: 50.0
is pre training: True | ep: 320 | step: 16000 | avg reward: -1.1 | avg ep length: 50.0
is pre training: True | ep: 330 | step: 16500 | avg reward: -1.8 | avg ep length: 50.0
is pre training: True | ep: 340 | step: 17000 | avg reward: -0.5 | avg ep length: 50.0
is pre training: True | ep: 350 | step: 17500 | avg reward: 0.4 | avg ep length: 50.0
is pre training: True | ep: 360 | step: 18000 | avg reward: -1.0 | avg ep length: 50.0
is pre training: True | ep: 370 | step: 18500 | avg reward: -2.1 | avg ep length: 50.0
is pre training: True | ep: 380 | step: 19000 | avg reward: -0.6 | avg ep length: 50.0
is pre training: True | ep: 390 | step: 19500 | avg reward: -1.4 | avg ep length: 50.0
is pre training: True | ep: 400 | step: 20000 | avg reward: -0.5 | avg ep length: 50.0
is pre training: True | ep: 410 | step: 20500 | avg reward: -0.6 | avg ep length: 50.0
is pre training: True | ep: 420 | step: 21000 | avg reward: -1.4 | avg ep length: 50.0
is pre training: True | ep: 430 | step: 21500 | avg reward: -0.4 | avg ep length: 50.0
is pre training: True | ep: 440 | step: 22000 | avg reward: -0.8 | avg ep length: 50.0
is pre training: True | ep: 450 | step: 22500 | avg reward: -0.9 | avg ep length: 50.0
is pre training: True | ep: 460 | step: 23000 | avg reward: -0.7 | avg ep length: 50.0
is pre training: True | ep: 470 | step: 23500 | avg reward: -0.8 | avg ep length: 50.0
is pre training: True | ep: 480 | step: 24000 | avg reward: -0.9 | avg ep length: 50.0
is pre training: True | ep: 490 | step: 24500 | avg reward: -0.8 | avg ep length: 50.0
is pre training: True | ep: 500 | step: 25000 | avg reward: -1.1 | avg ep length: 50.0
is pre training: True | ep: 510 | step: 25500 | avg reward: -0.5 | avg ep length: 50.0
is pre training: True | ep: 520 | step: 26000 | avg reward: -0.2 | avg ep length: 50.0
is pre training: True | ep: 530 | step: 26500 | avg reward: 0.6 | avg ep length: 50.0
is pre training: True | ep: 540 | step: 27000 | avg reward: -1.0 | avg ep length: 50.0
is pre training: True | ep: 550 | step: 27500 | avg reward: -1.5 | avg ep length: 50.0
is pre training: True | ep: 560 | step: 28000 | avg reward: -1.3 | avg ep length: 50.0
is pre training: True | ep: 570 | step: 28500 | avg reward: -0.9 | avg ep length: 50.0
is pre training: True | ep: 580 | step: 29000 | avg reward: -2.5 | avg ep length: 50.0
is pre training: True | ep: 590 | step: 29500 | avg reward: -0.4 | avg ep length: 50.0
is pre training: True | ep: 600 | step: 30000 | avg reward: -1.9 | avg ep length: 50.0
is pre training: True | ep: 610 | step: 30500 | avg reward: -0.6 | avg ep length: 50.0
is pre training: True | ep: 620 | step: 31000 | avg reward: -1.0 | avg ep length: 50.0
is pre training: True | ep: 630 | step: 31500 | avg reward: -0.8 | avg ep length: 50.0
is pre training: True | ep: 640 | step: 32000 | avg reward: -1.3 | avg ep length: 50.0
is pre training: True | ep: 650 | step: 32500 | avg reward: -0.7 | avg ep length: 50.0
is pre training: True | ep: 660 | step: 33000 | avg reward: -0.9 | avg ep length: 50.0
is pre training: True | ep: 670 | step: 33500 | avg reward: -0.2 | avg ep length: 50.0
is pre training: True | ep: 680 | step: 34000 | avg reward: 0.1 | avg ep length: 50.0
is pre training: True | ep: 690 | step: 34500 | avg reward: -0.6 | avg ep length: 50.0
is pre training: True | ep: 700 | step: 35000 | avg reward: -0.4 | avg ep length: 50.0
